#{"t_start": 1781727376.9474878, "env_id": "EPuckLidarParkingEnv-v0"}
r,l,t
62.838894,95,884.576946
-154.124838,94,887.047887
41.995254,102,889.760314
-163.67929,116,892.931656
88.342095,93,895.514965
74.78574,100,898.256681
-122.231482,98,901.433166
-114.390527,97,904.141973
-144.271834,108,906.959352
-195.097308,117,910.229611
-163.274731,108,913.228166
69.236619,94,915.731229
-169.128014,117,918.83268
46.211554,113,922.033865
62.531349,98,924.951893
-189.113495,98,927.754466
-178.686343,117,931.437091
58.728512,110,934.697278
43.885375,105,937.58894
-148.091272,104,940.685547
-153.581654,100,943.449167
67.437094,95,945.993835
33.673119,104,948.959489
-148.904562,102,951.662557
-194.314259,130,955.211609
42.757569,116,958.997174
79.690547,111,962.145093
77.825586,111,965.370739
-133.615119,107,968.391413
75.665436,92,972.035284
68.226459,114,975.269784
64.520375,124,978.782626
51.782116,129,982.521487
47.463488,133,986.079195
66.40128,94,988.574096
25.731063,132,992.34221
-151.76376,111,995.330092
-165.044519,104,998.060163
-152.512202,129,1001.6673
-146.846684,107,1005.066926
-138.002945,95,1007.56872
-126.538512,111,1010.600972
-143.797531,106,1013.673916
-129.324039,88,1016.009766
-144.760462,109,1018.863531
-139.92917,111,1022.004637
73.405661,97,1024.563173
-141.722929,121,1028.055623
-139.571926,104,1031.089468
-132.205638,109,1034.544265
50.037284,120,1038.028994
-135.117297,102,1041.051586
81.687787,99,1044.595626
39.936103,115,1048.397265
76.156533,92,1050.951665
-151.811049,98,1053.619025
-133.335276,95,1056.3462
76.220688,88,1058.891202
74.033529,110,1061.946748
79.845715,117,1065.631037
73.20736,116,1068.81409
-144.333925,126,1072.423305
76.988982,123,1075.982651
48.000728,114,1079.154297
-149.025589,106,1081.895164
80.796936,110,1084.831186
74.684576,96,1087.403055
-139.675189,117,1090.476194
61.145933,107,1093.872998
59.785386,95,1096.474574
76.950813,92,1098.902119
37.519196,122,1102.083479
61.582011,111,1105.056567
-159.428001,105,1108.005338
72.082722,112,1111.268008
-129.956063,98,1114.191191
42.094784,110,1117.397398
53.552701,112,1120.901494
53.700299,102,1123.61803
80.469834,101,1126.419449
82.53036,99,1130.984757
89.436119,91,1133.623605
98.406413,94,1136.199619
92.250137,97,1138.761011
56.541981,117,1141.88889
-157.800191,129,1145.570905
-137.857112,116,1149.114317
68.032056,107,1152.030182
71.114343,96,1154.663908
-132.989303,112,1157.928793
-125.619588,115,1161.343815
70.181847,106,1164.919996
-173.725848,120,1168.462786
-142.334031,118,1171.853076
-136.257488,110,1175.010503
61.767662,116,1178.360671
56.396054,118,1181.757284
-120.964035,94,1184.273529
73.050033,91,1186.83456
85.056663,101,1189.766005
-151.976411,110,1193.248579
-136.539337,113,1196.183342
-141.537867,109,1199.086826
-163.685404,120,1202.289426
78.442539,114,1205.361683
-168.629197,107,1208.160906
74.838014,108,1211.214537
77.690426,103,1214.216278
-140.417773,122,1217.552804
75.93484,101,1220.460122
-123.54574,118,1224.316872
42.510156,121,1227.901388
44.856233,107,1231.029866
63.611179,92,1233.785125
-122.765023,111,1237.001041
59.480526,111,1240.151154
59.181719,106,1242.961384
-124.141278,121,1246.158419
60.870092,109,1249.300656
-160.012192,122,1253.206073
68.647265,107,1256.302153
-140.622791,110,1259.442512
-159.243327,96,1262.110566
53.422576,114,1265.22153
-158.462431,116,1268.594861
69.572521,99,1271.476328
46.632903,110,1274.657797
50.219143,128,1278.192976
86.982235,101,1281.510465
-136.613638,122,1284.986778
-137.725739,133,1289.282389
71.799723,98,1292.078925
92.460225,120,1295.456382
78.782856,97,1298.189016
94.700286,96,1300.946537
64.852335,94,1303.675853
-141.343074,101,1306.395585
-124.846374,113,1309.394789
-129.225578,95,1311.96416
-148.566889,100,1314.967272
-181.065091,100,1317.622814
-148.69527,103,1320.422388
76.027597,115,1323.475743
-131.310164,92,1326.664569
64.79165,106,1329.599513
-134.445042,94,1332.085548
-119.48526,94,1334.584715
