#{"t_start": 1781747159.5238495, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
-127.804104,100,1477.104469
41.359032,117,1482.14966
91.929103,97,1486.339786
-155.398391,96,1490.579505
92.87105,94,1494.541639
-167.855753,101,1498.881846
81.013277,117,1505.23891
93.018751,110,1510.308749
82.286207,109,1515.734804
57.661646,128,1523.096005
33.785023,109,1527.624289
-132.478831,98,1532.471047
80.481349,109,1537.424968
85.312629,115,1543.086875
85.245793,107,1548.312335
31.834625,122,1554.106873
44.639478,112,1559.641658
-148.55791,108,1564.927688
40.729002,122,1570.744267
85.522254,101,1575.549984
66.313396,109,1581.506876
72.388598,108,1586.599719
53.729022,107,1591.674593
-124.372318,112,1596.876305
-151.774294,92,1601.245369
-153.720767,115,1606.974335
-124.124999,112,1611.6439
-149.837708,106,1616.385231
89.88853,108,1620.73783
-134.825204,113,1625.659121
-127.013751,108,1630.156171
88.009155,106,1634.743852
65.856103,116,1640.152877
-153.455234,116,1645.164459
-152.129372,116,1649.955287
-149.416117,98,1654.102782
-155.786546,109,1658.595079
-111.793033,97,1663.271476
-193.684825,126,1668.470883
52.085068,108,1673.065352
-189.88917,128,1678.47981
51.475298,98,1683.332571
-167.761988,123,1688.401237
-166.774452,88,1692.101812
-145.229367,105,1696.784574
-141.2741,113,1701.487419
-206.198706,141,1707.755434
77.055024,106,1712.047875
65.163792,115,1716.975917
-142.734784,106,1721.340429
89.487631,90,1725.356448
71.500516,106,1730.410801
61.389378,102,1734.838543
99.787813,104,1739.236008
-140.347673,87,1743.403125
-164.542196,116,1748.47892
-127.245411,110,1753.397207
69.417713,120,1758.467368
-136.85492,100,1762.686512
-113.726688,115,1767.431455
-136.810804,99,1772.320776
-156.614483,106,1776.588844
84.659218,88,1780.430578
-152.509164,107,1784.980029
18.030344,138,1790.769958
-160.286751,121,1796.267713
61.413026,117,1800.96005
73.140143,117,1805.948098
-130.708057,97,1810.021065
-147.793924,92,1814.115649
91.019361,86,1818.478007
90.51894,87,1822.245176
-211.288181,139,1828.249503
-193.024468,125,1833.672791
-169.121045,131,1839.995894
57.49548,122,1843.051398
-132.586175,99,1845.635152
-151.672672,105,1848.581933
-160.180274,98,1851.10452
84.353179,107,1855.718831
88.816407,104,1859.940199
96.018566,92,1864.295294
-123.819582,104,1868.399184
54.639883,122,1873.42999
-172.039223,126,1879.419908
-130.311863,103,1883.662219
-165.927978,122,1888.71236
-187.414259,113,1893.335697
-160.242804,108,1897.665082
78.058916,118,1902.42678
-177.282744,113,1907.174928
-122.013023,96,1911.027411
66.684012,116,1915.964871
-154.393185,108,1920.39847
84.069135,104,1925.424933
-191.651332,129,1931.087004
-168.939278,105,1935.887283
-111.596469,100,1940.795966
-211.068446,133,1947.856872
-185.523698,113,1953.673249
-126.633212,90,1959.50901
-132.422131,129,1967.572171
-36.886872,161,1977.523556
-125.795188,96,1982.225551
-24.899218,152,1989.39831
-156.09523,122,1995.547543
-154.233229,99,2001.637181
-117.652847,87,2006.723817
57.955389,126,2014.922386
-127.17896,116,2020.902802
50.364699,114,2026.297415
-146.814243,111,2031.020597
-131.694803,104,2035.462548
97.395461,99,2039.925225
-117.995097,112,2047.859031
-180.368045,119,2055.430886
86.604988,99,2061.765735
-165.445538,113,2068.188514
95.174035,116,2073.507122
-198.368745,131,2080.620416
-235.542564,153,2088.472776
-164.7762,110,2094.336154
-123.674654,117,2100.373244
-119.573053,105,2105.107363
-123.70936,107,2109.476636
-130.067215,116,2114.805667
96.26168,103,2119.701215
-145.208661,112,2124.339576
55.315809,116,2129.122208
-139.812366,133,2134.45888
-123.852608,116,2139.176969
-153.003905,110,2143.693515
-143.769658,121,2148.668792
-148.104956,104,2153.135994
81.077967,103,2157.997347
-131.198506,107,2163.659593
83.268087,126,2170.76486
81.705563,118,2178.415992
-168.036277,129,2184.698464
-140.586188,120,2190.127158
-145.848949,97,2195.509907
-117.468941,87,2201.215906
68.228804,129,2208.237108
69.017708,125,2214.688484
91.487994,107,2220.188517
-170.777137,109,2226.385946
-152.568485,103,2230.855323
78.354561,117,2236.179856
-135.694099,97,2240.296913
50.151471,118,2245.249909
-135.57237,123,2250.262456
70.395915,93,2253.98426
-159.649759,111,2258.462048
-104.783529,113,2262.923942
-112.806968,91,2267.447613
92.906314,115,2272.09936
89.772855,97,2275.995094
-125.286585,106,2280.198052
56.48101,116,2285.042769
-132.62868,111,2290.325628
-133.239528,121,2297.0061
87.067493,112,2302.539812
-121.438076,101,2307.294314
-138.956527,109,2312.44897
77.358895,107,2318.070737
-132.026944,112,2324.335985
-152.195491,113,2331.868127
64.285532,103,2336.682583
61.05142,136,2343.524411
97.849621,101,2349.072547
69.144607,121,2354.796326
-113.381411,108,2359.556523
-120.252378,89,2363.608557
-150.021783,107,2368.717948
85.235011,114,2375.606684
96.621103,93,2379.705339
75.991676,126,2387.006851
-110.562435,113,2392.116239
56.5317,117,2398.987394
91.116,103,2403.939164
-156.17443,125,2409.61307
-160.254367,94,2413.751076
85.32209,99,2421.063241
-126.911861,115,2426.373769
87.715283,120,2432.217407
-119.095563,101,2436.363129
-117.329535,101,2440.824434
-124.587404,107,2445.563798
83.601946,113,2450.358102
75.933353,117,2455.224239
60.107612,128,2460.245617
56.309857,125,2466.639033
94.109634,93,2470.985448
78.911736,117,2476.295863
-138.219845,102,2481.058579
91.64408,88,2485.224681
-132.091205,110,2490.756616
86.42228,121,2499.202417
86.122555,115,2506.068151
85.003611,99,2512.139899
69.178619,123,2519.478924
55.755171,124,2525.802087
80.05632,100,2531.68517
68.04765,107,2537.594544
-141.345721,101,2543.577344
66.207862,117,2549.980444
-114.123945,108,2557.353338
-120.014051,111,2563.471232
65.99107,115,2570.900268
-121.099683,114,2577.917508
82.850911,88,2583.084338
-129.63529,107,2588.723247
52.593099,133,2595.350243
53.458447,128,2601.379743
-147.729187,104,2606.163026
95.496753,107,2610.740932
63.915117,123,2615.887927
57.015876,109,2620.603963
88.952585,91,2624.683335
-153.595504,118,2629.761722
46.65599,124,2635.219409
-161.715153,120,2640.348929
62.036603,102,2644.690133
93.43562,96,2648.825301
-124.061128,114,2654.024241
-124.827246,104,2658.663003
85.623126,97,2662.678242
-118.394183,122,2668.47003
-134.463159,122,2675.762439
-122.210998,108,2681.381812
72.680295,98,2686.139587
75.897517,106,2692.021433
-122.757685,90,2696.867632
-129.362349,106,2701.882609
83.515558,101,2707.438652
79.077181,104,2712.185082
-123.628071,114,2717.197515
57.728634,109,2722.045081
-130.147348,118,2727.184497
96.871555,102,2731.8012
-119.702782,115,2736.975636
-154.574547,113,2742.131109
58.490185,135,2749.358932
86.000796,89,2753.980159
49.895738,126,2761.39344
-124.46647,110,2768.239035
86.880116,99,2773.311491
-141.174892,112,2779.560906
48.157634,127,2786.573827
-129.898509,98,2791.374303
84.838411,99,2796.070086
61.839273,118,2802.093447
66.277983,123,2808.174272
-122.010307,99,2813.222947
36.499859,128,2819.613861
59.049746,109,2825.870655
68.763872,119,2831.789806
84.42454,102,2836.198524
83.980653,108,2843.475956
-133.791112,117,2847.085109
80.444529,103,2849.82872
71.83121,98,2852.485817
75.53424,109,2855.387105
-163.827884,127,2861.60689
-189.735986,131,2867.976652
84.583123,112,2874.771946
83.994586,102,2879.795125
82.146713,114,2886.249876
87.745426,115,2891.693659
84.584301,112,2897.056353
57.773355,124,2904.045369
81.401476,99,2909.705923
-145.100217,112,2916.193699
86.270244,89,2920.339499
89.126216,96,2924.833669
80.044328,98,2929.351145
-124.096399,103,2934.238921
80.449686,105,2939.656826
80.005145,112,2945.451666
79.850013,109,2950.944386
78.551105,92,2955.650331
